site avenue street desiredtime value
1 29 28 86 218
2 79 45 37 132
3 33 60 47 207
4 80 29 77 62
5 82 75 26 131
6 62 46 105 191
7 66 48 141 168
8 6 16 35 175
9 54 84 132 88
10 83 30 215 220
11 95 69 200 171
12 81 12 41 158
13 93 53 88 93
14 32 24 79 100
15 24 34 107 242
16 75 77 176 37
17 86 54 78 106
18 15 41 145 91
19 81 50 162 59
20 93 64 129 105
21 67 18 157 188
22 25 60 205 240
23 74 87 63 34
24 47 54 189 131
25 8 87 121 55
26 86 33 30 234
27 83 18 39 7
28 99 19 56 49
29 4 20 214 69
30 46 91 162 130
31 62 27 182 114
32 96 57 181 134
33 14 14 182 180
34 46 85 183 190
35 72 45 216 236
36 51 93 121 49
37 92 94 103 66
38 29 51 152 10
39 82 17 110 136
40 45 54 62 227
41 47 94 109 81
42 81 87 24 218
43 23 82 108 20
44 84 86 180 46
45 49 40 20 38
46 33 49 37 235
47 57 86 95 152
48 22 59 66 220
49 83 57 184 142
50 22 69 156 71
51 11 19 137 35
52 37 68 41 142
53 21 74 94 232
54 30 37 171 192
55 94 92 136 93
56 83 26 193 91
57 92 45 208 163
58 68 25 105 16
59 43 7 99 149
60 93 91 198 120
61 22 33 164 92
62 15 64 168 235
63 32 26 62 196
64 22 99 153 104
65 56 23 115 98
66 82 89 166 77
67 69 62 24 178
68 65 63 88 34
69 23 45 64 150
70 39 0 171 216
71 23 3 167 11
72 53 27 94 197
73 28 37 126 236
74 86 71 138 1
75 67 45 113 160
76 13 38 166 233
77 84 39 106 85
78 44 12 140 165
79 68 68 191 83
80 53 37 43 163
81 71 17 141 154
82 10 33 56 46
83 83 16 42 145
84 89 89 89 56
85 97 10 111 150
86 70 59 85 140
87 3 47 56 119
88 98 34 109 142
89 12 40 173 68
90 83 41 178 29
91 10 0 118 234
92 74 40 33 20
93 27 87 155 38
94 65 27 160 127
95 71 14 165 72
96 24 70 158 230
97 17 65 43 237
98 29 76 167 20
99 27 80 141 60
100 77 79 142 115
101 66 45 66 185
102 64 25 27 181
103 2 16 107 47
104 60 62 190 215
105 96 30 49 91
106 93 27 128 117
107 83 67 25 18
108 58 58 36 4
109 22 39 180 149
110 15 51 219 153
111 36 67 36 224
112 2 45 32 240
113 31 16 204 69
114 74 40 191 77
115 54 25 154 56
116 6 92 176 10
117 37 38 166 188
118 11 63 24 130
119 48 73 137 152
120 71 63 34 121
121 34 5 178 129
122 64 29 87 78
123 8 7 116 191
124 71 54 54 90
125 37 86 135 249
126 34 62 24 46
127 89 94 63 173
128 6 66 126 101
129 38 45 142 120
130 46 77 188 136
131 38 84 130 88
132 72 10 94 29
133 48 99 190 233
134 19 36 45 207
135 74 57 106 49
136 64 85 211 21
137 71 92 25 119
138 49 97 125 182
139 21 66 49 11
140 39 14 107 109
141 93 39 209 242
142 32 68 113 83
143 63 99 156 16
144 27 34 183 48
145 76 26 22 218
146 40 83 38 234
147 68 66 79 98
148 4 65 106 31
149 71 85 109 96
150 97 69 180 145

site day beginhour endhour
1 1 10 20
2 1 9 18
3 1 10 11
4 1 10 13
5 1 10 13
6 1 1 19
7 1 7 16
8 1 2 12
9 1 4 13
10 1 2 18
11 1 9 16
12 1 6 11
13 1 4 19
14 1 4 19
15 1 5 17
16 1 8 19
17 1 7 13
18 1 8 14
19 1 4 11
20 1 7 16
21 1 8 14
22 1 4 15
23 1 9 17
24 1 10 19
25 1 9 11
26 1 6 12
27 1 7 20
28 1 4 20
29 1 5 11
30 1 1 14
31 1 8 19
32 1 4 20
33 1 5 14
34 1 10 12
35 1 4 12
36 1 4 16
37 1 8 19
38 1 4 11
39 1 3 18
40 1 10 19
41 1 9 14
42 1 2 16
43 1 9 11
44 1 7 14
45 1 5 11
46 1 9 20
47 1 6 18
48 1 6 15
49 1 1 12
50 1 10 18
51 1 3 11
52 1 2 11
53 1 7 20
54 1 4 14
55 1 8 17
56 1 7 12
57 1 10 11
58 1 7 19
59 1 1 17
60 1 10 16
61 1 1 20
62 1 7 16
63 1 5 19
64 1 10 13
65 1 10 12
66 1 10 14
67 1 6 13
68 1 8 12
69 1 7 19
70 1 7 18
71 1 1 15
72 1 2 18
73 1 4 19
74 1 5 12
75 1 9 17
76 1 7 17
77 1 6 12
78 1 3 16
79 1 1 19
80 1 2 11
81 1 7 14
82 1 5 13
83 1 3 17
84 1 10 17
85 1 8 14
86 1 9 18
87 1 7 14
88 1 8 14
89 1 1 18
90 1 1 11
91 1 4 18
92 1 10 12
93 1 2 14
94 1 10 17
95 1 7 13
96 1 8 17
97 1 1 19
98 1 10 18
99 1 9 18
100 1 10 13
101 1 9 18
102 1 2 20
103 1 2 20
104 1 2 20
105 1 2 12
106 1 4 17
107 1 8 14
108 1 10 20
109 1 8 20
110 1 1 11
111 1 3 18
112 1 5 17
113 1 4 16
114 1 1 17
115 1 3 13
116 1 8 13
117 1 4 16
118 1 6 11
119 1 9 17
120 1 6 14
121 1 3 11
122 1 9 16
123 1 9 17
124 1 2 16
125 1 7 18
126 1 5 16
127 1 9 13
128 1 6 17
129 1 7 16
130 1 6 12
131 1 2 16
132 1 8 11
133 1 3 14
134 1 4 18
135 1 2 13
136 1 9 12
137 1 10 14
138 1 2 16
139 1 5 11
140 1 6 20
141 1 7 19
142 1 6 19
143 1 5 19
144 1 1 20
145 1 7 12
146 1 6 15
147 1 9 17
148 1 3 11
149 1 6 15
150 1 7 13
1 2 7 18
2 2 2 18
3 2 10 13
4 2 4 11
5 2 3 19
6 2 10 13
7 2 5 17
8 2 1 13
9 2 3 16
10 2 7 15
11 2 5 20
12 2 9 17
13 2 8 11
14 2 5 20
15 2 4 14
16 2 3 19
17 2 6 18
18 2 4 18
19 2 2 17
20 2 4 19
21 2 7 20
22 2 3 20
23 2 1 14
24 2 4 13
25 2 4 19
26 2 1 14
27 2 8 14
28 2 10 18
29 2 9 20
30 2 7 11
31 2 6 16
32 2 3 12
33 2 10 20
34 2 5 11
35 2 3 19
36 2 1 19
37 2 4 15
38 2 1 13
39 2 4 16
40 2 6 19
41 2 7 19
42 2 8 16
43 2 10 15
44 2 1 14
45 2 10 15
46 2 1 17
47 2 2 18
48 2 8 11
49 2 6 16
50 2 10 13
51 2 7 13
52 2 1 11
53 2 8 15
54 2 8 11
55 2 3 11
56 2 9 19
57 2 10 11
58 2 4 16
59 2 8 16
60 2 10 20
61 2 9 13
62 2 10 12
63 2 7 20
64 2 5 12
65 2 10 11
66 2 3 20
67 2 6 14
68 2 9 12
69 2 6 13
70 2 2 20
71 2 10 16
72 2 4 14
73 2 9 18
74 2 10 18
75 2 3 15
76 2 3 17
77 2 9 20
78 2 3 14
79 2 4 16
80 2 6 16
81 2 1 20
82 2 6 15
83 2 10 12
84 2 2 19
85 2 4 16
86 2 10 20
87 2 3 15
88 2 10 19
89 2 6 12
90 2 7 12
91 2 9 15
92 2 7 20
93 2 8 19
94 2 1 15
95 2 4 15
96 2 10 12
97 2 2 16
98 2 7 20
99 2 5 12
100 2 1 11
101 2 4 13
102 2 6 11
103 2 7 17
104 2 7 18
105 2 10 18
106 2 3 14
107 2 7 20
108 2 10 12
109 2 1 15
110 2 3 20
111 2 7 12
112 2 6 16
113 2 5 15
114 2 8 20
115 2 3 13
116 2 1 18
117 2 4 18
118 2 5 12
119 2 4 20
120 2 3 16
121 2 4 14
122 2 9 19
123 2 7 15
124 2 5 13
125 2 8 14
126 2 5 18
127 2 3 12
128 2 4 11
129 2 6 19
130 2 9 20
131 2 1 14
132 2 3 20
133 2 3 20
134 2 4 18
135 2 3 12
136 2 2 13
137 2 10 12
138 2 2 18
139 2 7 12
